"car_id","car_make","car_model","car_year","car_color"
"1","Acura","ILX",2015,"GhostWhite"
"2","Acura","MDX",2002,"Coral"
"3","Acura","MDX",2005,"Cornsilk"
"4","Acura","MDX",2021,"Tan"
"5","Acura","RDX",2014,"GreenYellow"
"6","Acura","RDX",2018,"MediumPurple"
"7","Acura","RDX",2013,"OldLace"
"8","Acura","TLX",2016,"DarkSeaGreen"
"9","Acura","TLX",2020,"Chocolate"
"10","Alfa Romeo","Giulia",2015,"OldLace"
"11","Alfa Romeo","Giulia",2011,"Silver"
"12","Alfa Romeo","Giulia",2007,"PaleGreen"
"13","Alfa Romeo","Giulia",2015,"MintCream"
"14","Alfa Romeo","Stelvio",2019,"Lavender"
"15","Alfa Romeo","Stelvio",2001,"Lavender"
"16","Alfa Romeo","Tonale",2001,"Navy"
"17","Alfa Romeo","Tonale",2011,"Brown"
"18","Alfa Romeo","Tonale",2018,"Coral"
"19","Aston Martin","DB11",2007,"Aquamarine"
"20","Aston Martin","DB11",2003,"Linen"
"21","Aston Martin","DB11",2023,"Beige"
"22","Aston Martin","DBX",2011,"Aquamarine"
"23","Aston Martin","DBX",2022,"Lavender"
"24","Aston Martin","Vantage",2012,"SandyBrown"
"25","Audi","A4",2019,"DarkRed"
"26","Audi","A6",2020,"Thistle"
"27","Audi","A6",2017,"Tan"
"28","Audi","Q3",2023,"Orchid"
"29","Audi","Q7",2003,"LightGoldenRodYellow"
"30","Audi","Q7",2024,"Cyan"
"31","Bentley","Bentayga",2016,"MistyRose"
"32","Bentley","Bentayga",2012,"MediumSlateBlue"
"33","Bentley","Continental",2000,"LightGray"
"34","Bentley","Continental",2021,"Plum"
"35","Bentley","Flying Spur",2012,"LightSeaGreen"
"36","BMW","3 Series",2003,"Moccasin"
"37","BMW","5 Series",2010,"Gold"
"38","BMW","5 Series",2002,"DarkCyan"
"39","BMW","5 Series",2006,"White"
"40","BMW","X3",2019,"ForestGreen"
"41","BMW","X5",2009,"Red"
