"order_id","selling_date","price","seller_id","car_id","customer_id"
"1","2025-03-28","59435.42","8","1","54"
"2","2024-02-02","72348.41","3","1","53"
"3","2024-09-23","52053.90","8","1","57"
"4","2025-04-19","38254.47","4","1","72"
"5","2025-08-11","58879.12","10","1","16"
"6","2024-01-17","23344.83","2","1","179"
"7","2025-02-13","97757.37","12","1","75"
"8","2024-07-10","67082.12","2","1","129"
"9","2024-03-27","54694.20","5","1","5"
"10","2025-03-08","10753.15","8","1","150"
"11","2024-11-29","91211.05","11","1","54"
"12","2024-09-15","92348.22","9","1","48"
"13","2024-11-26","88893.92","19","1","112"
"14","2024-05-06","37225.11","2","1","37"
"15","2025-06-01","80059.59","3","1","175"
"16","2023-09-08","29939.75","18","1","47"
"17","2025-01-09","15157.29","9","1","161"
"18","2024-08-28","65289.53","15","1","3"
"19","2024-10-25","55690.85","15","1","104"
"20","2024-01-04","63379.09","15","1","46"
"21","2024-10-19","18783.21","17","1","141"
"22","2023-12-05","28467.42","4","1","52"
"23","2025-07-18","81031.06","9","1","160"
"24","2024-08-07","62403.22","11","1","47"
"25","2025-06-24","69636.40","1","1","35"
"26","2024-09-15","28445.81","10","1","157"
"27","2024-04-25","22007.06","3","1","164"
"28","2025-02-12","96041.93","3","2","182"
"29","2025-02-11","89822.35","9","2","9"
"30","2023-10-08","61868.48","1","2","194"
"31","2024-02-24","91717.46","10","2","89"
"32","2023-12-22","25553.19","17","2","103"
"33","2024-10-05","50190.55","10","2","81"
"34","2024-07-22","25696.08","11","2","66"
"35","2025-03-26","75613.64","14","2","189"
"36","2024-02-29","74237.73","3","2","51"
"37","2025-02-09","52989.97","8","2","67"
"38","2024-09-27","79043.62","15","2","3"
"39","2024-10-26","54137.50","10","2","115"
"40","2025-02-18","51358.47","2","2","116"
"41","2023-10-17","68634.84","12","2","94"
"42","2025-08-26","34709.84","13","2","88"
"43","2025-04-30","10971.71","6","2","117"
"44","2025-02-09","79971.63","1","2","76"
"45","2025-08-16","93349.18","16","2","141"
"46","2025-07-16","51948.10","8","2","199"
"47","2023-11-13","56578.36","17","2","49"
"48","2023-09-30","11070.53","5","2","37"
"49","2024-11-01","80356.15","10","3","47"
"50","2024-09-28","6041.24","14","3","17"
"51","2024-09-25","73048.00","6","3","73"
"52","2025-05-15","92649.86","11","3","48"
"53","2024-03-02","35848.76","16","3","54"
"54","2023-09-22","99037.13","12","3","8"
"55","2024-01-07","89123.70","9","3","39"
"56","2024-03-16","98082.48","17","3","63"
"57","2024-08-09","61100.52","2","3","80"
"58","2024-08-06","88958.44","9","3","150"
"59","2024-06-05","41943.22","14","3","45"
"60","2023-09-13","16098.38","7","3","148"
"61","2024-07-16","29076.67","5","3","36"
"62","2024-08-18","42739.99","6","3","147"
"63","2024-09-21","25084.57","20","3","186"
"64","2024-06-16","33307.23","14","3","91"
"65","2023-10-10","45925.51","20","3","123"
"66","2023-10-07","38698.26","5","3","143"
"67","2025-04-07","98771.95","13","3","31"
"68","2024-11-30","47107.62","4","4","25"
"69","2023-09-29","21745.27","2","4","166"
"70","2025-05-18","76585.22","10","4","99"
"71","2024-05-05","44890.82","7","4","105"
"72","2023-10-07","89737.58","18","4","108"
"73","2025-01-28","6110.09","7","4","82"
"74","2025-08-04","98780.17","15","4","170"
"75","2024-03-20","81859.61","17","4","7"
"76","2024-08-23","60234.89","16","4","115"
"77","2024-07-25","91680.85","10","4","90"
"78","2024-11-01","70457.11","1","4","32"
"79","2023-12-06","93953.80","13","4","50"
"80","2024-10-14","55126.93","2","4","186"
"81","2025-02-21","66988.29","19","4","183"
"82","2023-12-19","92700.89","19","4","124"
"83","2025-03-12","61134.00","19","4","141"
"84","2023-12-26","97106.71","13","4","18"
"85","2024-07-13","64575.99","11","4","140"
"86","2025-08-13","35012.38","5","5","194"
"87","2024-10-11","79160.13","14","5","64"
"88","2024-10-24","65253.07","5","5","90"
"89","2024-05-01","5580.84","13","5","152"
"90","2024-10-11","46837.83","19","5","73"
"91","2025-07-08","74025.00","12","5","175"
"92","2024-09-14","98338.35","5","5","73"
"93","2024-06-03","70029.96","2","5","79"
"94","2024-05-27","28878.04","6","5","149"
"95","2023-10-27","98654.77","10","5","19"
"96","2024-07-13","42617.53","13","5","162"
"97","2023-09-18","35746.27","18","5","172"
"98","2025-09-06","11145.43","5","5","146"
"99","2024-07-26","98986.78","16","5","136"
"100","2024-08-17","38255.72","19","5","36"
"101","2023-12-17","94854.19","8","5","9"
"102","2023-10-27","72877.03","15","5","129"
"103","2024-03-09","13122.43","19","5","91"
"104","2024-03-22","61337.84","14","5","139"
"105","2024-06-19","17673.57","5","5","61"
"106","2024-05-06","6871.96","1","5","48"
"107","2024-05-17","49420.73","15","5","105"
"108","2025-03-16","5921.54","17","5","107"
"109","2024-02-21","10291.05","5","6","121"
"110","2025-03-29","26003.99","6","6","80"
"111","2024-10-23","99405.76","18","6","7"
"112","2025-06-16","49578.74","18","6","41"
"113","2023-09-11","71501.51","16","6","146"
"114","2024-04-04","98897.96","14","6","171"
"115","2023-09-24","38720.70","10","6","130"
"116","2024-04-13","95391.85","19","6","79"
"117","2024-03-15","64577.30","5","6","140"
"118","2025-07-03","69375.00","12","6","75"
"119","2025-03-20","81939.05","14","6","161"
"120","2024-08-30","7555.05","17","6","183"
"121","2025-08-16","43473.03","7","6","75"
"122","2024-08-26","95235.70","11","6","91"
"123","2025-03-29","6780.48","12","6","98"
"124","2024-06-23","70727.37","12","6","26"
"125","2025-05-17","72253.15","18","6","56"
"126","2024-09-04","88118.91","14","6","139"
"127","2024-07-30","68981.77","13","6","59"
"128","2024-04-05","78445.53","15","6","8"
"129","2024-11-04","89099.03","1","6","90"
"130","2024-05-15","17976.74","17","6","103"
"131","2024-09-10","45130.93","15","6","1"
"132","2025-06-24","43912.74","13","6","28"
"133","2024-02-16","55682.56","18","6","104"
"134","2025-02-14","5936.91","5","6","22"
"135","2024-10-22","6049.64","3","6","39"
"136","2024-04-28","65805.03","15","6","182"
"137","2025-01-15","11226.24","8","6","52"
"138","2024-06-04","75883.44","12","7","66"
"139","2025-06-02","94134.66","8","7","190"
"140","2023-11-12","32501.17","4","7","123"
"141","2024-12-20","33356.48","6","7","182"
"142","2024-06-08","67154.41","2","7","8"
"143","2025-01-21","90696.16","6","7","187"
"144","2024-08-13","9117.13","3","7","96"
"145","2024-06-11","53485.51","7","7","27"
"146","2025-06-14","63442.22","2","7","55"
"147","2024-11-29","9380.24","15","7","173"
"148","2024-02-17","40075.14","10","7","10"
"149","2024-05-11","17744.96","16","7","61"
"150","2024-12-24","62617.04","10","7","107"
"151","2024-07-24","62694.19","15","7","108"
"152","2024-11-24","39020.02","5","7","22"
"153","2024-12-09","13803.63","15","8","105"
"154","2024-07-15","80540.20","12","8","160"
"155","2024-05-05","81929.77","2","8","82"
"156","2025-01-26","94107.44","7","8","2"
"157","2024-08-21","42735.52","4","8","200"
"158","2024-06-08","82762.89","11","8","169"
"159","2024-03-24","15372.76","10","8","15"
"160","2024-01-14","14129.00","6","8","40"
"161","2024-02-07","99060.88","9","8","104"
"162","2024-11-06","57707.65","3","8","164"
"163","2025-08-12","81043.66","6","8","135"
"164","2025-07-27","45386.59","12","8","137"
"165","2024-05-25","37353.88","4","8","190"
"166","2024-09-02","26594.53","6","8","12"
"167","2025-05-27","55522.20","15","8","169"
"168","2025-09-03","79029.02","5","8","176"
"169","2023-10-27","65113.95","13","8","122"
"170","2025-05-29","24136.24","17","8","143"
"171","2025-05-15","17750.41","18","8","163"
"172","2023-09-10","99080.88","11","8","7"
"173","2025-08-09","97115.59","5","8","98"
"174","2024-11-27","87564.49","5","8","21"
"175","2024-10-11","30657.08","6","8","135"
"176","2025-07-05","72121.97","17","8","74"
"177","2024-02-12","66640.99","17","8","188"
"178","2023-09-26","75121.62","11","8","102"
"179","2023-10-04","34774.22","9","8","113"
"180","2024-08-12","94915.41","14","8","49"
"181","2024-03-30","79682.36","11","9","165"
"182","2025-02-26","94729.89","15","9","102"
"183","2024-07-20","14243.75","2","9","148"
"184","2024-07-07","17331.59","6","9","70"
"185","2024-06-20","28793.92","20","9","47"
"186","2025-06-26","69357.64","15","9","153"
"187","2024-07-26","17427.88","1","9","121"
"188","2024-12-09","54944.28","18","9","13"
"189","2024-06-14","72745.66","17","9","91"
"190","2025-02-15","78596.42","16","9","4"
"191","2024-05-31","50556.70","13","9","9"
"192","2024-09-04","52304.40","14","9","26"
"193","2024-06-13","40797.04","15","9","66"
"194","2025-02-09","9858.15","14","9","158"
"195","2025-01-11","34682.44","16","9","167"
"196","2025-04-11","81895.88","2","9","35"
"197","2024-11-09","58241.93","17","9","130"
"198","2024-11-24","75396.37","13","9","27"
"199","2024-01-10","34749.51","20","9","41"
"200","2024-11-10","41380.52","14","9","10"
"201","2023-11-08","31638.71","20","9","161"
"202","2024-10-04","37215.81","13","9","134"
"203","2024-02-23","97743.60","8","9","166"
"204","2024-11-06","20825.79","15","9","118"
"205","2024-06-28","71347.42","12","9","172"
"206","2023-10-26","47396.91","8","9","93"
"207","2025-03-24","99597.84","12","9","74"
"208","2024-08-21","8109.17","9","9","123"
"209","2023-10-31","55889.48","10","9","53"
"210","2023-11-20","13420.46","12","9","114"
"211","2023-12-19","20546.89","9","10","95"
"212","2024-09-06","91573.50","2","10","28"
"213","2024-07-07","79472.72","19","10","116"
"214","2024-11-11","28196.06","5","10","120"
"215","2024-12-17","57305.16","8","10","122"
"216","2023-11-30","13683.06","14","10","73"
"217","2024-02-27","42790.08","4","10","175"
"218","2024-08-09","90515.47","14","10","143"
"219","2025-01-28","44356.86","12","10","147"
"220","2024-09-12","64646.43","17","10","63"
"221","2023-12-22","74253.06","7","10","60"
"222","2024-10-30","66127.73","4","10","167"
"223","2024-07-12","54280.31","20","10","161"
"224","2023-09-08","58349.03","10","11","162"
"225","2024-10-07","78502.38","17","11","93"
"226","2024-07-21","48851.31","11","11","43"
"227","2024-03-01","49636.01","12","11","111"
"228","2024-01-30","6893.73","18","11","190"
"229","2025-05-27","68829.88","4","11","187"
"230","2023-10-08","58773.39","3","11","78"
"231","2024-06-26","40955.59","4","11","46"
"232","2024-11-09","96722.10","18","11","78"
"233","2025-08-17","87846.42","15","11","117"
"234","2024-08-19","95532.90","19","11","195"
"235","2023-09-20","11212.47","20","11","179"
"236","2024-10-06","7445.98","9","11","42"
"237","2024-12-10","59781.86","7","11","11"
"238","2024-04-11","26886.10","14","11","61"
"239","2024-01-02","99551.60","20","11","160"
"240","2023-10-13","50072.87","3","11","200"
"241","2025-06-29","77415.36","4","12","26"
"242","2024-06-24","71369.46","8","12","91"
"243","2024-04-26","80031.34","10","12","43"
"244","2024-03-06","35333.34","2","12","22"
"245","2023-10-17","37707.39","20","12","89"
"246","2023-12-22","86715.69","14","12","189"
"247","2024-12-03","70570.68","1","12","130"
"248","2023-12-12","47861.04","3","12","69"
"249","2024-03-13","43621.51","7","12","50"
"250","2023-09-22","26273.74","12","12","66"
"251","2024-05-16","52387.95","19","12","155"
"252","2024-06-23","75241.72","18","12","59"
"253","2025-02-26","5889.42","17","13","157"
"254","2025-01-31","75383.02","13","13","95"
"255","2023-09-17","37480.68","2","13","96"
"256","2023-11-30","74833.23","6","13","96"
"257","2024-10-29","60777.15","6","13","85"
"258","2024-11-01","38870.96","6","13","85"
"259","2025-03-16","16426.84","7","13","102"
"260","2023-09-17","79992.64","13","13","103"
"261","2024-02-06","37811.34","5","13","188"
"262","2024-09-26","46942.30","18","13","187"
"263","2025-02-24","64245.05","5","13","18"
"264","2024-08-27","39912.21","5","13","130"
"265","2025-06-10","10263.08","10","13","5"
"266","2024-12-22","39164.08","14","13","140"
"267","2024-04-29","6526.41","3","13","70"
"268","2024-11-27","65983.20","2","13","197"
"269","2024-02-21","54034.55","1","13","147"
"270","2023-11-06","77090.22","11","13","53"
"271","2024-10-26","38516.43","7","13","160"
"272","2025-06-19","41143.16","3","13","165"
"273","2024-08-10","78526.56","17","13","54"
"274","2024-09-11","8400.14","17","13","40"
"275","2025-05-07","50962.17","11","14","100"
"276","2024-05-26","91750.01","3","14","148"
"277","2025-07-15","59998.89","3","14","162"
"278","2025-08-29","76634.95","13","14","16"
"279","2023-10-23","8775.08","19","14","101"
"280","2025-06-19","86557.07","7","14","103"
"281","2024-08-10","78344.13","19","14","34"
"282","2024-09-07","55212.89","19","14","155"
"283","2023-12-13","58315.31","6","14","191"
"284","2024-04-27","83402.87","2","14","169"
"285","2025-05-27","23011.29","17","14","153"
"286","2025-07-05","97767.00","13","14","13"
"287","2025-08-06","22939.58","5","14","32"
"288","2024-08-14","38875.34","10","14","132"
"289","2024-03-04","50538.18","8","14","183"
"290","2025-01-21","23054.15","13","15","85"
"291","2025-08-12","80184.52","16","15","58"
"292","2024-11-10","27263.84","10","15","162"
"293","2023-11-01","82800.91","6","15","9"
"294","2024-10-17","69504.02","4","15","101"
"295","2024-05-15","81860.02","14","15","54"
"296","2025-02-19","99896.91","2","15","128"
"297","2023-11-14","5284.92","7","15","172"
"298","2024-02-02","96559.10","11","15","61"
"299","2024-07-06","17570.95","18","15","131"
"300","2024-09-13","8212.16","9","15","81"
"301","2025-06-28","35138.41","6","15","141"
"302","2025-03-26","34728.02","9","15","81"
