"seller_id","seller_name","seller_city","seller_state","seller_phone"
"1","Adkins, Fields and Willis","East Kenneth","Michigan","001-951-330-7869x058"
"2","Coffey, Martinez and Nguyen","Jacquelineborough","Ohio","+1-307-640-3971x93347"
"3","Cook-Murphy","Ballshire","California","664.791.3190x014"
"4","Curry-Wong","Waltersmouth","Nebraska","+1-734-784-4794x66221"
"5","Fuentes-Martinez","South Noahtown","Colorado","492-572-0674"
"6","Harris, Jacobs and Kaiser","Wyattside","Michigan","821-840-0964x479"
"7","Hutchinson Ltd","North Brianna","Pennsylvania","+1-571-930-1438x49678"
"8","Kirk, Hill and Webster","East Christinahaven","Georgia","965-830-5248"
"9","Martin Group","Michelefurt","Connecticut","(370)331-5298x1138"
"10","Martinez, Jones and Alvarez","Port Susan","Washington","701.385.7314"
"11","Mcknight, Li and Valenzuela","Lake Teresaburgh","New Jersey","+1-829-365-6220"
"12","Miller Group","West Karina","Massachusetts","(955)787-3572x86681"
"13","Mitchell, Bailey and Vargas","Port Joseph","Washington","735.417.6853x00690"
"14","Moran Group","Cantuberg","Mississippi","001-477-912-1208x072"
"15","Obrien and Sons","Cookton","North Carolina","+1-399-364-2636"
"16","Robertson, Willis and Houston","Jonathanmouth","Maryland","001-589-481-9218"
"17","Thomas LLC","Rosestad","West Virginia","673-995-4576"
"18","Thornton, Thomas and Kennedy","Herreraton","Washington","526.572.0978x16510"
"19","Willis, Salazar and Sanchez","South Tammybury","South Carolina","001-514-249-0866x66810"
"20","Woods-Avila","Benjaminfurt","South Carolina","+1-630-936-5246x36264"
